,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
61,22,Salford Street,Gillian,Wood,6,Step-Daughter,NA,Female,Student,None,NA
62,23,Salford Street,Jessica,Martin,49,Head,Single,Female,Clinical molecular geneticist,None,Catholic
63,23,Salford Street,Victor,Naylor,32,None,Single,Male,Information officer,None,None
64,1,Morris Dam,Catherine,Walker,37,Head,Married,Female,Textile designer,None,None
65,1,Morris Dam,Daniel,Walker,44,Husband,Married,Male,"Embryologist, clinical",None,None
66,1,Morris Dam,Josh,Walker,4,Son,NA,Male,Child,None,NA
67,1,Morris Dam,Gregory,Walker,1,Son,NA,Male,Child,None,NA
68,1,Morris Dam,Jack,Palmer,27,Lodger,Single,Male,"Scientist, water quality",None,None
69,2,Morris Dam,Olivia,Jones-Edwards,37,Head,Married,Female,"Engineer, site",None,Catholic
70,2,Morris Dam,Owen,Jones-Edwards,41,Husband,Married,Male,Clothing/textile technologist,None,None
71,2,Morris Dam,Ann,King,31,Sibling,Single,Female,"Designer, multimedia",None,None
72,2,Morris Dam,Jonathan,Turner,36,Lodger,Single,Male,"Nurse, children's",None,Catholic
73,2,Morris Dam,Mathew,Gardiner,27,Lodger,Single,Male,Pathologist,None,None
74,3,Morris Dam,Hilary,Richards,55,Head,Married,f,Manufacturing systems engineer,None,Christian
75,3,Morris Dam,Vincent,Richards,57,Husband,Married,Male,Fashion designer,None,Christian
76,3,Morris Dam,Kyle,Richards,18,Son,Single,Male,Student,None,Christian
77,3,Morris Dam,Diana,Richards,16,Daughter,NA,Female,Student,None,NA
78,3,Morris Dam,Kyle,Richards,13,Son,NA,Male,Student,None,NA
79,4,Morris Dam,Alison,Smith,49,Head,Single,Female,Audiological scientist,None,Catholic
80,4,Morris Dam,Denis,Webster,50,Partner,Single,Male,"Engineer, broadcasting (operations)",None,None
81,4,Morris Dam,Lee,Smith,23,Son,Single,Male,Biomedical engineer,None,None
82,4,Morris Dam,Ricky,Smith,17,Son,NA,M,Student,None,NA
83,5,Morris Dam,Sara,Edwards,37,Head,Divorced,Female,Unemployed,None,None
84,5,Morris Dam,Christian,Edwards,11,Son,NA,Male,Student,None,NA
85,5,Morris Dam,Liam,Edwards,7,Son,NA,Male,Student,None,NA
86,5,Morris Dam,Josh,Edwards,7,Son,NA,Male,Student,None,NA
87,5,Morris Dam,Naomi,Edwards,5,Daughter,NA,Female,Student,None,NA
88,6,Morris Dam,Andrea,Grant,56,NA,Divorced,Female,International aid/development worker,None,None
89,6,Morris Dam,Sam,Grant,30,Son,Divorced,Male,Publishing rights manager,None,None
90,6,Morris Dam,Marian,Grant,27,Daughter,Divorced,Female,"Pharmacist, hospital",None,None
91,7,Morris Dam,Dale,Hart,38,Head,Single,Male,Music therapist,None,Catholic
92,7,Morris Dam,Michael,Hart,6,Son,NA,Male,Student,None,NA
93,7,Morris Dam,Rosemary,Hart,2,Daughter,NA,Female,Child,None,NA
94,7,Morris Dam,Steven,Hart,0,Son,NA,Male,Child,None,NA
95,7,Morris Dam,Claire,Carter,50,Lodger,Single,Female,Magazine journalist,None,Christian
96,7,Morris Dam,Kenneth,Burrows,30,Lodger,Single,Male,Air traffic controller,None,Muslim
97,7,Morris Dam,Gary,Williamson,46,Lodger,Widowed,Male,"Designer, exhibition/display",None,Christian
98,7,Morris Dam,Gerald,Hope,18,Sibling,Divorced,Male,Student,None,NA
99,7,Morris Dam,Victoria,Pearce,29,Lodger,Single,Female,Unemployed,None,Muslim
100,7,Morris Dam,Dean,Walsh,60,Lodger,Single,Male,"Secretary, company",None,Christian
101,8,Morris Dam,Georgina,Henry,39,Head,Married,Female,Lobbyist,None,Muslim
102,8,Morris Dam,Bernard,Henry,46,Husband,Married,Male,Barrister,None,None
103,8,Morris Dam,Sandra,Evans-Henry,13,Daughter,NA,Female,Student,None,NA
104,8,Morris Dam,Russell,Evans-Henry,12,Son,NA,Male,Student,None,NA
105,8,Morris Dam,Lorraine,Evans-Henry,0,Daughter,NA,Female,Child,None,NA
106,9,Morris Dam,Terence,Patterson,51,Head,Married,Male,Dance movement psychotherapist,None,Methodist
107,9,Morris Dam,Janice,Patterson,49,Wife,Married,Female,"Scientist, research (life sciences)",None,None
108,9,Morris Dam,Mohammad,Patterson,22,Son,Single,Male,University Student,None,None
109,9,Morris Dam,Lorraine,Patterson,21,Daughter,Divorced,Female,University Student,None,Christian
110,9,Morris Dam,Christine,Patterson,21,Daughter,Single,Female,University Student,None,Methodist
111,9,Morris Dam,Lynda,Patterson,18,Daughter,Single,Female,Student,None,Methodist
112,9,Morris Dam,Tina,Patterson,14,Daughter,NA,Female,Student,None,NA
113,10,Morris Dam,Gemma,Whitehead,33,Head,Single,Female,Legal secretary,None,Catholic
114,10,Morris Dam,Alan,Warner,33,Partner,Single,Male,Higher education lecturer,None,Catholic
115,10,Morris Dam,Jeffrey,Whitehead,6,Son,NA,Male,Student,None,NA
116,10,Morris Dam,Charlotte,Whitehead,2,NA,NA,Female,Child,None,NA
117,10,Morris Dam,Adam,Whitehead,2,Son,NA,Male,Child,None,NA
118,10,Morris Dam,Scott,Whitehead,0,Son,NA,m,Child,None,NA
119,10,Morris Dam,Zoe,Harding,45,Lodger,Divorced,Female,"Engineer, automotive",None,Christian
120,10,Morris Dam,Geraldine,Hayes,23,Lodger,Single,Female,"Engineer, electrical",None,Catholic
121,10,Morris Dam,Mary,Collins,24,Lodger,Divorced,Female,"Runner, broadcasting/film/video",None,Christian
122,10,Morris Dam,Sheila,Turnbull,54,Lodger,Single,Female,Gaffer,None,None
123,10,Morris Dam,Ann,Smith,34,Lodger,Single,Female,Contractor,None,None
124,10,Morris Dam,Dylan,Price,48,Lodger,Single,Male,Environmental health practitioner,None,Catholic
125,10,Morris Dam,Sandra,Mellor,46,Lodger,Divorced,Female,Financial trader,None,Methodist
126,10,Morris Dam,Eileen,Smith,19,Sibling,Single,Female,University Student,None,None
127,10,Morris Dam,Marc,Herbert,63,Lodger,Divorced,Male,Forest/woodland manager,None,Christian
128,11,Morris Dam,Julia,Sykes,60,Head,Married,Female,"Programmer, multimedia",None,Christian
129,11,Morris Dam,Marcus,Sykes,68,Husband,Married,Male,"Retired Development worker, community",None,Christian
130,11,Morris Dam,Nicola,Smith,25,Daughter,Divorced,Female,Chief Technology Officer,None,None
131,11,Morris Dam,Stewart,Smith,23,Son,Divorced,Male,Logistics and distribution manager,None,Christian
132,11,Morris Dam,Allan,Smith,19,Son,Divorced,Male,University Student,None,Christian
133,12,Morris Dam,Rachael,Jones,39,Head,Married,Female,Technical sales engineer,None,Methodist
134,12,Morris Dam,Arthur,Jones,39,Husband,Married,Male,Advertising account executive,None,Methodist
135,12,Morris Dam,Hollie,Jones,11,NA,NA,Female,Student,None,NA
136,12,Morris Dam,Maurice,Jones,7,Son,NA,Male,Student,None,NA
137,12,Morris Dam,Mary,Jones,4,Daughter,NA,Female,Child,None,NA
138,13,Morris Dam,Kelly,Read,53,Head,Single,Female,Logistics and distribution manager,None,Catholic
139,13,Morris Dam,Stewart,Price,50,Partner,Single,Male,NA,None,None
140,13,Morris Dam,Sandra,Read,24,Daughter,Single,Female,Homeopath,None,None
141,13,Morris Dam,Aaron,Read,24,Son,Divorced,Male,Web designer,None,Catholic
142,13,Morris Dam,Hannah,Read,10,Daughter,NA,Female,Student,None,NA
143,14,Morris Dam,Elaine,Bailey,30,Head,Divorced,Female,Unemployed,None,Catholic
144,14,Morris Dam,Paige,Bailey,6,Daughter,NA,Female,Student,None,NA
145,14,Morris Dam,Garry,Bailey,4,Son,NA,Male,Child,None,NA
146,14,Morris Dam,Elliot,Bailey,0,Son,NA,Male,Child,None,NA
147,14,Morris Dam,Amy,Marsh,59,Lodger,Divorced,Female,Environmental health practitioner,None,Christian
148,15,Morris Dam,Keith,Sanders,27,Head,Single,Male,"Engineer, maintenance",None,None
149,15,Morris Dam,Samuel,Morgan,5,Nephew,NA,Male,Student,None,NA
150,15,Morris Dam,Katy,Morgan,4,Niece,NA,Female,Child,None,NA
151,15,Morris Dam,Kenneth,Morgan,3,Nephew,NA,Male,Child,None,NA
152,15,Morris Dam,Kate,Simpson,19,Lodger,Single,Female,University Student,None,Christian
153,16,Morris Dam,Kyle,Goodwin,34,Head,Single,Male,Geographical information systems officer,None,Christian
154,16,Morris Dam,Joan,Charlton,22,None,Single,Female,University Student,None,Catholic
155,16,Morris Dam,Matthew,Roberts,29,None,Single,Male,Academic librarian,None,Catholic
156,16,Morris Dam,Samuel,Chan,47,None,Single,Male,Personal assistant,None,Christian
157,16,Morris Dam,Ian,Smith,45,None,Single,Male,Museum/gallery conservator,None,Catholic
158,16,Morris Dam,Suzanne,Kaur,22,None,Single,Female,University Student,None,None
159,16,Morris Dam,Lauren,Riley,40,None,Single,F,"Psychologist, forensic",None,None
160,16,Morris Dam,Eleanor,Singh,56,None,Single,Female,Catering manager,None,Christian
161,16,Morris Dam,Jill,Lane,22,None,Single,Female,University Student,None,Jewish
162,16,Morris Dam,Dean,Webb,60,None,Single,M,Unemployed,None,Christian
163,16,Morris Dam,Rosemary,Robinson,25,None,Single,Female,Historic buildings inspector/conservation officer,None,Methodist
164,16,Morris Dam,Sandra,Bennett,49,None,Single,Female,"Copywriter, advertising",None,None
165,1,Mace Greens,Marc,Spencer,59,Head,Single,Male,Automotive engineer,None,None
166,2,Mace Greens,Charlotte,Thomas,68,Head,Married,NA,Retired Animal technologist,None,None
167,2,Mace Greens,Gavin,Thomas,69,Husband,Married,Male,Retired Operations geologist,None,None
168,2,Mace Greens,Guy,Hammond,12,Grandson,NA,Male,Student,None,NA
169,3,Mace Greens,Jenna,Rose,39,Head,Single,Female,"Scientist, research (physical sciences)",None,None
170,4,Mace Greens,Marie,Bray,53,Head,Single,Female,Manufacturing engineer,None,Catholic
171,5,Mace Greens,Denis,Harris,61,Head,Divorced,Male,"Therapist, horticultural",None,Christian
172,6,Mace Greens,Jill,Moore,67,Head,Widowed,Female,Intelligence analyst,None,None
173,7,Mace Greens,Carly,Johnson,40,Head,Married,Female,Unemployed,None,Catholic
174,7,Mace Greens,Mitchell,Johnson,40,Husband,Married,Male,Cabin crew,None,Catholic
175,7,Mace Greens,Antony,Johnson,23,Son,Single,Male,Corporate treasurer,None,Catholic
176,8,Mace Greens,Jacob,Payne,33,Head,Married,Male,Manufacturing engineer,None,Catholic
177,8,Mace Greens,Marion,Payne,27,Wife,Married,Female,Transport planner,None,Catholic
178,8,Mace Greens,Jade,Sharpe,40,Lodger,Single,Female,Seismic interpreter,None,Catholic
179,9,Mace Greens,Bethan,Duffy,19,Head,Single,Female,University Student,None,None
180,10,Mace Greens,Ryan,Jordan,NA,Head,Single,Male,Surgeon,None,None
181,11,Mace Greens,Tom,Hunt,37,Head,Single,Male,Unemployed,None,None
182,12,Mace Greens,Conor,Baker,24,Head,Single,Male,"Scientist, research (medical)",None,Jewish
183,13,Mace Greens,Alexandra,NA,45,Head,Single,Female,Unemployed,None,Catholic
184,14,Mace Greens,Kyle,Patel,80,Head,Divorced,Male,Retired Lobbyist,None,Christian
185,15,Mace Greens,Jean,Davies,47,Head,Married,Female,"Programmer, systems",None,Catholic
186,15,Mace Greens,Duncan,Davies,52,Husband,Married,Male,Exercise physiologist,None,None
187,15,Mace Greens,Catherine,Davies,13,Daughter,NA,Female,Student,None,NA
188,16,Mace Greens,Stacey,Martin,19,Head,Married,Female,University Student,None,None
189,16,Mace Greens,Justin,Martin,30,Husband,Married,Male,"Therapist, art",None,None
190,17,Mace Greens,Donald,Roberts,39,Head,Single,Male,"Scientist, product/process development",None,Catholic
191,18,Mace Greens,Douglas,Howarth,57,Head,Divorced,Male,"Surveyor, hydrographic",None,Methodist
192,19,Mace Greens,Steven,Thompson,72,Head,Married,Male,Retired Event organiser,None,None
193,19,Mace Greens,Rachael,Thompson,70,Wife,Married,Female,Retired General practice doctor,None,None
194,20,Mace Greens,Linda,Martin,48,Head,Single,Female,Unemployed,None,None
195,21,Mace Greens,George,Hunt,68,Head,Married,Male,Retired Veterinary surgeon,None,Muslim
196,21,Mace Greens,Rita,Hunt,64,Wife,Married,Female,Museum/gallery curator,None,Muslim
197,22,Mace Greens,Wendy,Bishop,67,Head,Widowed,Female,Unemployed,None,Methodist
198,23,Mace Greens,Sean,Wilkinson,67,Head,Widowed,Male,Land,None,None
199,24,Mace Greens,Sophie,Brown,59,Head,Single,Female,Fish farm manager,None,Christian
200,25,Mace Greens,Steven,Roberts,31,Head,Single,Male,Arts development officer,None,None
201,25,Mace Greens,David,Law,52,None,Single,Male,Occupational psychologist,None,Methodist
202,25,Mace Greens,Antony,Holloway,50,None,Single,Male,"Buyer, retail",None,Methodist
203,26,Mace Greens,Declan,Shaw,59,Head,Single,Male,Unemployed,None,Christian
204,27,Mace Greens,Francesca,Lowe,42,Head,Divorced,Female,Private music teacher,None,Catholic
205,28,Mace Greens,Mohammed,Payne,72,Head,Widowed,Male,Retired Ecologist,None,Christian
206,29,Mace Greens,Russell,Houghton,54,Head,Divorced,Male,Unemployed,None,Christian
207,30,Mace Greens,Catherine,Pearce,59,Head,Single,Female,Travel agency manager,None,None
208,31,Mace Greens,Marilyn,NA,82,Head,Widowed,Female,"Retired Editor, magazine features",None,Catholic
209,32,Mace Greens,Elliott,Murphy,28,Head,Single,Male,Quantity surveyor,None,None
210,33,Mace Greens,Frances,Sheppard,69,Head,Divorced,Female,Retired Materials engineer,None,Christian
211,34,Mace Greens,Keith,Stephens,71,Head,Married,Male,Retired Aid worker,None,Christian
212,34,Mace Greens,Sharon,Stephens,74,Wife,Married,Female,Retired Statistician,None,Christian
213,35,Mace Greens,Lauren,Lloyd,39,Head,Single,Female,Immunologist,None,Methodist
214,35,Mace Greens,Stanley,Hardy,43,None,Single,Male,Unemployed,None,None
215,35,Mace Greens,Vanessa,Burton,64,None,Single,Female,Secretary/administrator,None,None
216,36,Mace Greens,Eileen,Cooper,65.90408780363826,Head,Married,Female,Editorial assistant,None,Sikh
217,36,Mace Greens,Philip,Cooper,64.90408780363826,Husband,Married,Male,Writer,None,Sikh
218,36,Mace Greens,June,Cooper,15,Daughter,NA,Female,Student,None,NA
219,37,Mace Greens,Nigel,Ford,76,Head,Single,Male,Retired Advertising copywriter,None,Christian
220,38,Mace Greens,Claire,Reeves,26,Head,Single,Female,Forensic psychologist,None,Methodist
221,39,Mace Greens,Kathleen,Stanley,54,Head,Married,Female,Plant breeder/geneticist,None,Christian
222,39,Mace Greens,Eric,Stanley,57,Husband,Married,Male,"Editor, magazine features",None,Christian
223,39,Mace Greens,Ellie,Stanley,8,Daughter,NA,Female,Student,None,NA
224,40,Mace Greens,Lesley,Hall,48,Head,Married,Female,Biomedical engineer,None,Christian
225,40,Mace Greens,Abdul,Hall,49,Husband,Married,m,Osteopath,None,Christian
226,40,Mace Greens,James,Hall,21,Son,Single,Male,University Student,None,Christian
227,40,Mace Greens,Joshua,Hall,16,Son,NA,Male,Student,None,NA
228,41,Mace Greens,Clive,Wilson,55,Head,Single,Male,"Engineer, aeronautical",None,Christian
229,42,Mace Greens,Thomas,Webb,73,Head,Divorced,Male,Retired Quality manager,None,Christian
230,43,Mace Greens,Sharon,Dunn,42,Head,Widowed,Female,Barrister's clerk,None,None
231,44,Mace Greens,Maria,Roberts,47,Head,Single,Female,Biomedical engineer,None,Catholic
232,45,Mace Greens,Paula,Lee,31,Head,Single,Female,Unemployed,None,Catholic
233,45,Mace Greens,Dean,Lee,6,Son,NA,Male,Student,None,NA
234,46,Mace Greens,Cameron,Parker,20,Head,Single,Male,University Student,None,Methodist
235,47,Mace Greens,Nicole,Davies,40,Head,Single,Female,Aeronautical engineer,None,Christian
236,47,Mace Greens,Josh,Davies,8,Son,NA,Male,Student,None,NA
237,48,Mace Greens,Marilyn,Blake,36,Head,Divorced,Female,"Pharmacist, hospital",None,Christian
238,48,Mace Greens,Paula,Blake,6,Daughter,NA,Female,Student,None,NA
239,49,Mace Greens,Gerald,Dixon,52,Head,Married,Male,Fisheries officer,None,None
240,49,Mace Greens,Emma,Dixon,47,Wife,Married,Female,"Engineer, production",None,None
241,50,Mace Greens,Edward,Ali,46,Head,Single,Male,Commercial art gallery manager,None,None
242,51,Mace Greens,Abbie,Davis,60,Head,Married,Female,Astronomer,None,None
243,51,Mace Greens,Harry,Davis,62,Husband,Married,Male,Petroleum engineer,None,None
244,52,Mace Greens,Jennifer,Warner,79,Head,Married,Female,Retired Furniture conservator/restorer,Physical Disability,Christian
245,52,Mace Greens,Malcolm,Warner,79,Husband,Married,Male,Retired Forest/woodland manager,None,Christian
246,53,Mace Greens,Mohammed,Davison,29,Head,Married,Male,Civil Service fast streamer,None,Muslim
247,53,Mace Greens,Natasha,Davison,29,Wife,Married,Female,"Scientist, biomedical",None,Muslim
248,54,Mace Greens,Gordon,Young,47,Head,Married,Male,"Scientist, research (life sciences)",None,None
249,54,Mace Greens,Jodie,Young,43,Wife,Married,Female,Magazine journalist,None,None
250,55,Mace Greens,Keith,Rees,67,Head,Married,Male,Unemployed,None,None
251,55,Mace Greens,Louise,NA,64,Wife,Married,Female,Arts administrator,None,None
252,56,Mace Greens,Guy,Miller,86,Head,Divorced,Male,Retired Dancer,None,Catholic
253,57,Mace Greens,Charlene,Rogers,68,Head,Widowed,Female,"Retired Programme researcher, broadcasting/film/video",None,Christian
254,58,Mace Greens,Victoria,Cox,78,Head,Divorced,Female,Retired Teaching laboratory technician,None,None
255,59,Mace Greens,Sam,Sinclair,32,Head,Single,Male,Chief Executive Officer,None,Jewish
256,60,Mace Greens,Debra,Stanley,83,Head,Divorced,Female,Retired Phytotherapist,None,Christian
257,61,Mace Greens,Abigail,Chadwick,40,Head,Single,Female,General practice doctor,None,Christian
258,62,Mace Greens,Annette,Nixon,50,Head,Divorced,Female,"Engineer, maintenance",None,Christian
259,63,Mace Greens,Ruth,Roberts,27,Head,Single,Female,Environmental manager,None,None
260,64,Mace Greens,Donald,Power,57,Head,Widowed,Male,Paramedic,None,Catholic
261,65,Mace Greens,NA,Wilson,53,Head,Divorced,Female,Unemployed,None,Christian
262,65,Mace Greens,Ashley,Wilson,16,Son,NA,Male,Student,None,NA
263,66,Mace Greens,Joyce,Whitehead,82,Head,Divorced,Female,Retired Automotive engineer,None,Christian
264,67,Mace Greens,Hilary,Flynn,44,Head,Married,Female,Unemployed,None,Christian
265,67,Mace Greens,Mohamed,Flynn,45,Husband,Married,Male,Air traffic controller,None,Christian
266,67,Mace Greens,Oliver,Flynn,9,Son,NA,Male,Student,None,NA
267,68,Mace Greens,Clifford,Campbell,88,Head,Divorced,Male,"Retired Accountant, chartered public finance",None,Christian
268,69,Mace Greens,Damien,Hyde,76,Head,Divorced,Male,"Retired Engineer, maintenance",None,Christian
269,70,Mace Greens,Adam,Davies,38,Head,Single,Male,Unemployed,None,None
270,70,Mace Greens,Ashley,Davies,5,Son,NA,Male,Student,None,NA
271,71,Mace Greens,Billy,Brennan,83,Head,Widowed,Male,Retired Associate Professor,None,Christian
272,72,Mace Greens,Norman,King,19,Head,Single,Male,University Student,None,Christian
273,73,Mace Greens,Rhys,Holt,45,Head,Married,Male,Theatre manager,None,None
274,73,Mace Greens,Rebecca,Holt,46,Wife,Married,Female,Geophysical data processor,None,None
275,74,Mace Greens,Jayne,Pugh,45,Head,Single,Female,Fashion designer,None,None
276,74,Mace Greens,Richard,Lewis,46,Partner,Single,Male,Unemployed,None,None
277,75,Mace Greens,Mohamed,Kent,55,Head,Single,Male,"Copywriter, advertising",None,Methodist
278,75,Mace Greens,Elizabeth,Bowen,55,Partner,Single,Female,"Producer, radio",None,None
279,76,Mace Greens,Beth,Day,37,Head,Married,Female,Trade union research officer,None,Catholic
280,76,Mace Greens,Toby,Day,40,Husband,Married,Male,Rural practice surveyor,None,None
281,76,Mace Greens,Josephine,Day,5,Daughter,NA,Female,Student,None,NA
282,77,Mace Greens,Sharon,Evans,80,Head,Widowed,Female,"Retired Lecturer, further education",None,Christian
283,78,Mace Greens,Jake,Reid,72,Head,Divorced,Male,Retired Soil scientist,None,Methodist
284,79,Mace Greens,Mandy,Randall,52,Head,Single,Female,Charity officer,NA,None
285,80,Mace Greens,Janet,Jones,71,Head,Widowed,Female,Retired Psychiatric nurse,None,Christian
286,80,Mace Greens,Lorraine,Jones,28,Granddaughter,Divorced,Female,IT sales professional,None,Christian
287,80,Mace Greens,Raymond,Connor,22,Grandson,Single,Male,University Student,None,Christian
288,80,Mace Greens,Benjamin,Gough,18,Grandson,Single,Male,Student,None,Christian
289,81,Mace Greens,Brenda,Allen,52,Head,Single,Female,"Surveyor, quantity",None,Christian
290,81,Mace Greens,Sharon,Brown,19,None,Single,Female,Tourist information centre manager,None,Sikh
291,82,Mace Greens,Philip,Brennan,56,Head,Divorced,Male,"Lecturer, higher education",None,Christian
292,83,Mace Greens,Dorothy,Watts,65,Head,Widowed,Female,Interpreter,None,Christian
293,84,Mace Greens,Tracy,Elliott,68,Head,Divorced,Female,"Retired Engineer, water",None,Methodist
294,84,Mace Greens,Brandon,Jones-Elliott,19,Grandson,Single,Male,University Student,None,Methodist
295,84,Mace Greens,Josephine,Jones-Elliott,16,Granddaughter,NA,Female,Student,None,NA
296,85,Mace Greens,Lauren,Kerr,67,Head,Widowed,Female,"Therapist, sports",None,Christian
297,85,Mace Greens,Jodie,Kerr,33,Daughter,Single,Female,Electrical engineer,None,Christian
298,86,Mace Greens,Glenn,Marsh,48,Head,Divorced,Male,Microbiologist,None,Catholic
299,86,Mace Greens,Scott,Marsh,59,Cousin,Single,Male,Financial planner,None,Catholic
300,86,Mace Greens,Dean,Butler,56,Cousin,Divorced,Male,Community education officer,None,Catholic
301,87,Mace Greens,Anthony,Jordan,34,Head,Single,Male,"Runner, broadcasting/film/video",None,Sikh
302,87,Mace Greens,Damien,Jordan,3,Son,NA,Male,Child,None,NA
303,87,Mace Greens,Abbie,Jordan,0,Daughter,NA,Female,Child,None,NA
304,88,Mace Greens,Kimberley,Holt,80,Head,Widowed,Female,"Retired Presenter, broadcasting",None,Christian
305,89,Mace Greens,Kerry,Ellis,53,Head,Married,Female,Financial risk analyst,None,Catholic
306,89,Mace Greens,Wayne,Ellis,53,Husband,NA,Male,Textile designer,None,None
307,90,Mace Greens,Danielle,King,76,Head,Divorced,Female,"Retired Surveyor, minerals",None,Christian
